Id,Name,Title,Release,BGG Ranking,BGG Rating,Average Rating,Average Rating Z,Tags
349,Halunken & Spelunken,"<a href=""https://boardgamegeek.com/boardgame/349"">Halunken &amp; Spelunken</a><br><img src=""https://cf.geekdo-images.com/VkWBOD-o9FjQNCrEzDdkGw__thumb/img/mGupzl0Qf_vwKQQ4Ih0AdJXU6CQ=/fit-in/200x150/filters:strip_icc()/pic72037.jpg"" alt=""Halunken &amp; Spelunken"">",1997,#15047,5.5,5.8,-0.6507215409712842,Card Game
64,Joan of Arc,"<a href=""https://boardgamegeek.com/boardgame/64"">Joan of Arc</a><br><img src=""https://cf.geekdo-images.com/UD42fj0ESsolCl951lqOAg__thumb/img/SsEq1EtWiw_1wP7T2K33zcY_Ix8=/fit-in/200x150/filters:strip_icc()/pic87932.jpg"" alt=""Joan of Arc"">",1998,#5949,5.6,5.333333333333333,-0.745389431768678,"Card Game, Medieval, Political, Wargame"
2516,Man O' War,"<a href=""https://boardgamegeek.com/boardgame/2516"">Man O&#x27; War</a><br><img src=""https://cf.geekdo-images.com/FT-tsGHR3Dk3JootG9DmJg__thumb/img/5yUn5BEvYHHsqtieemrF3eUJ8pY=/fit-in/200x150/filters:strip_icc()/pic1540285.jpg"" alt=""Man O&#x27; War"">",1993,#2558,6.0,7.6,0.49942122420264684,"Fantasy, Miniatures, Nautical, Wargame"
41010,Carcassonne Junior,"<a href=""https://boardgamegeek.com/boardgame/41010"">Carcassonne Junior</a><br><img src=""https://cf.geekdo-images.com/79RZDVvvjXijQYFLnntAcA__thumb/img/p81GskaerF1PZR9S0XgVZamgGl0=/fit-in/200x150/filters:strip_icc()/pic5647237.png"" alt=""Carcassonne Junior"">",2009,#1543,6.3,6.55,-0.4853597243875333,"Children&#x27;s Game, Medieval"
39813,Qwirkle Cubes,"<a href=""https://boardgamegeek.com/boardgame/39813"">Qwirkle Cubes</a><br><img src=""https://cf.geekdo-images.com/jT7wqrkcXFRmMnB7A1tHww__thumb/img/CyKXR6QOHm0OGf85tuWcdo2GGJk=/fit-in/200x150/filters:strip_icc()/pic1346599.jpg"" alt=""Qwirkle Cubes"">",2009,#2776,5.9,6.3,-0.44990093272505427,"Abstract Strategy, Dice"
154510,Shadows of Malice,"<a href=""https://boardgamegeek.com/boardgame/154510"">Shadows of Malice</a><br><img src=""https://cf.geekdo-images.com/V4SLubXAI3g8OImC2ZTJUg__thumb/img/187p6cZNO5arPtZH-ugAiK_SqMM=/fit-in/200x150/filters:strip_icc()/pic6446722.jpg"" alt=""Shadows of Malice"">",2014,#3809,5.8,7.959999999999999,0.4563217321698252,"Adventure, Fantasy"
908,Tally Ho!,"<a href=""https://boardgamegeek.com/boardgame/908"">Tally Ho!</a><br><img src=""https://cf.geekdo-images.com/9nNl8qfnp344TJUPLQhJhw__thumb/img/6E8ARH3FZPABYjW1NTY6aWU6liA=/fit-in/200x150/filters:strip_icc()/pic2855889.jpg"" alt=""Tally Ho!"">",1973,#3109,5.9,6.128846153846154,-0.5932004671009781,Animals
19,Wacky Wacky West,"<a href=""https://boardgamegeek.com/boardgame/19"">Wacky Wacky West</a><br><img src=""https://cf.geekdo-images.com/Jc9Is7OyYz0NdWN_CDBi5g__thumb/img/SY3pxFgAkFbx2o7okAWQdNIpfEY=/fit-in/200x150/filters:strip_icc()/pic786075.jpg"" alt=""Wacky Wacky West"">",1991,#3066,5.9,6.375,-0.0765391944688331,"American West, Bluffing, City Building"
4741,Warmachine,"<a href=""https://boardgamegeek.com/boardgame/4741"">Warmachine</a><br><img src=""https://cf.geekdo-images.com/5RgbpJRE17WLrNmeDd1U7g__thumb/img/MeWGFnkzTgAnLmRlZQuSYbrC4M8=/fit-in/200x150/filters:strip_icc()/pic435550.jpg"" alt=""Warmachine"">",2003,#2025,6.1,7.071428571428571,0.21851278762996504,"Book, Fantasy, Fighting, Miniatures"
148943,Coup: Rebellion G54,"<a href=""https://boardgamegeek.com/boardgame/148943"">Coup: Rebellion G54</a><br><img src=""https://cf.geekdo-images.com/GSmvywVBtV0MSGCqnsulbQ__thumb/img/YtNOmzXjO4HYlmsZGgYrcdWYO80=/fit-in/200x150/filters:strip_icc()/pic2809076.jpg"" alt=""Coup: Rebellion G54"">",2014,#1264,6.4,6.9809090909090905,-0.14210473498287943,"Bluffing, Card Game, Deduction, Party Game, Political"
